Family ,Subfamily,Genus ,Species,Habitat,Adult_Diet,Larval_Diet ,Assignment_Level,Number_of_References,Reference_title_1,Reference_DOI_1,Reference_title_2,Reference_DOI_2,Reference_title_3,Reference_DOI_3,Reference_title_4,Reference_DOI_4,Reference_title_5,Reference_DOI_5,Reference_title_6,Reference_DOI_6,Reference_title_7,Reference_DOI_7,Reference_title_8,Reference_DOI_8,Reference_title_9,Reference_DOI_9,Reference_title_10,Reference_DOI_10,Reference_title_11,Reference_DOI_11,Reference_title_12,Reference_DOI_12
Agromyzidae,,Cerodontha,Cerodontha dorsalis,Terrestrial,Phytophagous,Phytophagous,Family,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Agromyzidae,,Cerodontha,Cerodontha fasciata,Terrestrial,Phytophagous,Phytophagous,Family,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Agromyzidae,,Cerodontha,Cerodontha lindrothi,Terrestrial,Phytophagous,Phytophagous,Family,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Agromyzidae,,Cerodontha,Cerodontha muscina,Terrestrial,Phytophagous,Phytophagous,Family,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Agromyzidae,,Chromatomyia,,Terrestrial,Phytophagous,Phytophagous,Genus,1,"Critical factors required by the nematode Steinernema feltiae for the control of the leafminers Liriomyza huidobrensis, Liriomyza bryoniae and Chromatomyia syngenesiae",10.1111/j.1744-7348.1995.tb06677.x,,,,,,,,,,,,,,,,,,,,,,
Agromyzidae,,Chromatomyia,Chromatomyia erigerontophaga,Terrestrial,Phytophagous,Phytophagous,Genus,1,"Critical factors required by the nematode Steinernema feltiae for the control of the leafminers Liriomyza huidobrensis, Liriomyza bryoniae and Chromatomyia syngenesiae",10.1111/j.1744-7348.1995.tb06677.x,,,,,,,,,,,,,,,,,,,,,,
Agromyzidae,,Chromatomyia,Chromatomyia fuscula,Terrestrial,Phytophagous,Phytophagous,Genus,1,"Critical factors required by the nematode Steinernema feltiae for the control of the leafminers Liriomyza huidobrensis, Liriomyza bryoniae and Chromatomyia syngenesiae",10.1111/j.1744-7348.1995.tb06677.x,,,,,,,,,,,,,,,,,,,,,,
Agromyzidae,,Chromatomyia,Chromatomyia opacella,Terrestrial,Phytophagous,Phytophagous,Genus,1,"Critical factors required by the nematode Steinernema feltiae for the control of the leafminers Liriomyza huidobrensis, Liriomyza bryoniae and Chromatomyia syngenesiae",10.1111/j.1744-7348.1995.tb06677.x,,,,,,,,,,,,,,,,,,,,,,
Agromyzidae,,Chromatomyia,Chromatomyia puccinelliae,Terrestrial,Phytophagous,Phytophagous,Genus,1,"Critical factors required by the nematode Steinernema feltiae for the control of the leafminers Liriomyza huidobrensis, Liriomyza bryoniae and Chromatomyia syngenesiae",10.1111/j.1744-7348.1995.tb06677.x,,,,,,,,,,,,,,,,,,,,,,
Agromyzidae,,Liriomyza,,Terrestrial,Phytophagous,Phytophagous,Genus,4,What limits the distribution of Liriomyza huidobrensis and its congener Liriomyza sativae in their native niche: when temperature and competition affect species' distribution range in Guatemala,10.1093/jisesa/iex059,Pest categorisation of Liriomyza bryoniae,10.2903/j.efsa.2020.6038,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,"Effect of host plant on feeding, biological and morphological parameters of Liriomyza huidobrensis Blanchard (Diptera: Agromyzidae)",10.4001/003.022.0315,,,,,,,,,,,,,,,,
Agromyzidae,,Liriomyza,Liriomyza baptisiae,Terrestrial,Phytophagous,Phytophagous,Genus,4,What limits the distribution of Liriomyza huidobrensis and its congener Liriomyza sativae in their native niche: when temperature and competition affect species' distribution range in Guatemala,10.1093/jisesa/iex059,Pest categorisation of Liriomyza bryoniae,10.2903/j.efsa.2020.6038,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,"Effect of host plant on feeding, biological and morphological parameters of Liriomyza huidobrensis Blanchard (Diptera: Agromyzidae)",10.4001/003.022.0315,,,,,,,,,,,,,,,,
Agromyzidae,,Liriomyza,Liriomyza brassicae,Terrestrial,Phytophagous,Phytophagous,Genus,4,What limits the distribution of Liriomyza huidobrensis and its congener Liriomyza sativae in their native niche: when temperature and competition affect species' distribution range in Guatemala,10.1093/jisesa/iex059,Pest categorisation of Liriomyza bryoniae,10.2903/j.efsa.2020.6038,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,"Effect of host plant on feeding, biological and morphological parameters of Liriomyza huidobrensis Blanchard (Diptera: Agromyzidae)",10.4001/003.022.0315,,,,,,,,,,,,,,,,
Agromyzidae,,Liriomyza,Liriomyza fricki,Terrestrial,Phytophagous,Phytophagous,Genus,4,What limits the distribution of Liriomyza huidobrensis and its congener Liriomyza sativae in their native niche: when temperature and competition affect species' distribution range in Guatemala,10.1093/jisesa/iex059,Pest categorisation of Liriomyza bryoniae,10.2903/j.efsa.2020.6038,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,"Effect of host plant on feeding, biological and morphological parameters of Liriomyza huidobrensis Blanchard (Diptera: Agromyzidae)",10.4001/003.022.0315,,,,,,,,,,,,,,,,
Agromyzidae,,Liriomyza,Liriomyza helianthi,Terrestrial,Phytophagous,Phytophagous,Species,1,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,,,,,,,,,,,,,,,,,,,,,,
Agromyzidae,,Ophiomyia,,Terrestrial,Phytophagous,Phytophagous,Genus,1,Complex feeding tracks of the sessile herbivorous insect Ophiomyia maura as a function of the defense against insect parasitoids,10.1371/journal.pone.0032594,,,,,,,,,,,,,,,,,,,,,,
Agromyzidae,,Ophiomyia,Ophiomyia quinta,Terrestrial,Phytophagous,Phytophagous,Genus,1,Complex feeding tracks of the sessile herbivorous insect Ophiomyia maura as a function of the defense against insect parasitoids,10.1371/journal.pone.0032594,,,,,,,,,,,,,,,,,,,,,,
Agromyzidae,,Ophiomyia,Ophiomyia similata,Terrestrial,Phytophagous,Phytophagous,Genus,1,Complex feeding tracks of the sessile herbivorous insect Ophiomyia maura as a function of the defense against insect parasitoids,10.1371/journal.pone.0032594,,,,,,,,,,,,,,,,,,,,,,
Agromyzidae,,Phytoliriomyza,,Terrestrial,Phytophagous,Phytophagous,Family,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Agromyzidae,,Phytoliriomyza,Phytoliriomyza arctica,Terrestrial,Phytophagous,Phytophagous,Family,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Agromyzidae,,Phytoliriomyza,Phytoliriomyza dorsata,Terrestrial,Phytophagous,Phytophagous,Family,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Agromyzidae,,Phytomyza,,Terrestrial,Phytophagous,Phytophagous,Genus,12,First report of Phytomyza orobanchia (Diptera: Agromyzidae) from Poland and Chymomyza amoena (Diptera: Drosophilidae) on Phelipanche ramose (Orobanchaceae),10.1653/024.101.0333,Molecular evidence of host-associated genetic divergence in the holly leafminer Phytomyza glabricola (Diptera: Agromyzidae): apparent discordance among marker systems,10.1111/j.1365-294X.2007.03303.x,"Evidence for ecological speciation via a host shift in the holly leaf miner, Phytomyza glabricola (Diptera: Agromyzidae)",10.1002/ece3.2358,A new afrotropical species of Phytomyza in the subgenus Ptochomyza (Diptera: Agromyzidae),10.5733/afin.056.0309,Phytomyza omlandi spec. nov. – The first species of Agromyzidae (Diptera: Schizophora) reared from the family Gelsemiaceae (Asteridae),10.4289/0013-8797.113.1.42,Bottom-up density regulation in the holly leaf-miner Phytomyza ilicis,10.1111/j.0021-8790.2004.00867.x,"Molecular phylogenetics of the holly leafminers (Diptera: Agromyzidae: Phytomyza): species limits, speciation, and dietary specialization", 10.1006/mpev.2000.0830,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Environmental and clonal influences on host choice and larval survival in a leafmining insect,10.2307/5199,Effects of host-plant population size and plant sex on a specialist leaf-miner,10.1016/j.actao.2010.11.007,"Diversity and host plant-use North American Phytomyza holly leafminers (Diptera: Agromyzidae): colonization, divergence, and specificity in a host-associated radiation",10.1093/aesa/saaa03,Plant hosts and parasitoid associations of leaf mining flies (Diptera: Agromyzidae) in the Canberra region of Australia,10.1111/j.1440-6055.2007.00622.x
Agromyzidae,,Phytomyza,Phytomyza aquilonia,Terrestrial,Phytophagous,Phytophagous,Genus,12,First report of Phytomyza orobanchia (Diptera: Agromyzidae) from Poland and Chymomyza amoena (Diptera: Drosophilidae) on Phelipanche ramose (Orobanchaceae),10.1653/024.101.0333,Molecular evidence of host-associated genetic divergence in the holly leafminer Phytomyza glabricola (Diptera: Agromyzidae): apparent discordance among marker systems,10.1111/j.1365-294X.2007.03303.x,"Evidence for ecological speciation via a host shift in the holly leaf miner, Phytomyza glabricola (Diptera: Agromyzidae)",10.1002/ece3.2358,A new afrotropical species of Phytomyza in the subgenus Ptochomyza (Diptera: Agromyzidae),10.5733/afin.056.0309,Phytomyza omlandi spec. nov. – The first species of Agromyzidae (Diptera: Schizophora) reared from the family Gelsemiaceae (Asteridae),10.4289/0013-8797.113.1.42,Bottom-up density regulation in the holly leaf-miner Phytomyza ilicis,10.1111/j.0021-8790.2004.00867.x,"Molecular phylogenetics of the holly leafminers (Diptera: Agromyzidae: Phytomyza): species limits, speciation, and dietary specialization", 10.1006/mpev.2000.0830,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Environmental and clonal influences on host choice and larval survival in a leafmining insect,10.2307/5199,Effects of host-plant population size and plant sex on a specialist leaf-miner,10.1016/j.actao.2010.11.007,"Diversity and host plant-use North American Phytomyza holly leafminers (Diptera: Agromyzidae): colonization, divergence, and specificity in a host-associated radiation",10.1093/aesa/saaa03,Plant hosts and parasitoid associations of leaf mining flies (Diptera: Agromyzidae) in the Canberra region of Australia,10.1111/j.1440-6055.2007.00622.x
Agromyzidae,,Phytomyza,Phytomyza erigerontophaga,Terrestrial,Phytophagous,Phytophagous,Genus,12,First report of Phytomyza orobanchia (Diptera: Agromyzidae) from Poland and Chymomyza amoena (Diptera: Drosophilidae) on Phelipanche ramose (Orobanchaceae),10.1653/024.101.0333,Molecular evidence of host-associated genetic divergence in the holly leafminer Phytomyza glabricola (Diptera: Agromyzidae): apparent discordance among marker systems,10.1111/j.1365-294X.2007.03303.x,"Evidence for ecological speciation via a host shift in the holly leaf miner, Phytomyza glabricola (Diptera: Agromyzidae)",10.1002/ece3.2358,A new afrotropical species of Phytomyza in the subgenus Ptochomyza (Diptera: Agromyzidae),10.5733/afin.056.0309,Phytomyza omlandi spec. nov. – The first species of Agromyzidae (Diptera: Schizophora) reared from the family Gelsemiaceae (Asteridae),10.4289/0013-8797.113.1.42,Bottom-up density regulation in the holly leaf-miner Phytomyza ilicis,10.1111/j.0021-8790.2004.00867.x,"Molecular phylogenetics of the holly leafminers (Diptera: Agromyzidae: Phytomyza): species limits, speciation, and dietary specialization", 10.1006/mpev.2000.0830,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Environmental and clonal influences on host choice and larval survival in a leafmining insect,10.2307/5199,Effects of host-plant population size and plant sex on a specialist leaf-miner,10.1016/j.actao.2010.11.007,"Diversity and host plant-use North American Phytomyza holly leafminers (Diptera: Agromyzidae): colonization, divergence, and specificity in a host-associated radiation",10.1093/aesa/saaa03,Plant hosts and parasitoid associations of leaf mining flies (Diptera: Agromyzidae) in the Canberra region of Australia,10.1111/j.1440-6055.2007.00622.x
Agromyzidae,,Phytomyza,Phytomyza periclymeni,Terrestrial,Phytophagous,Phytophagous,Genus,12,First report of Phytomyza orobanchia (Diptera: Agromyzidae) from Poland and Chymomyza amoena (Diptera: Drosophilidae) on Phelipanche ramose (Orobanchaceae),10.1653/024.101.0333,Molecular evidence of host-associated genetic divergence in the holly leafminer Phytomyza glabricola (Diptera: Agromyzidae): apparent discordance among marker systems,10.1111/j.1365-294X.2007.03303.x,"Evidence for ecological speciation via a host shift in the holly leaf miner, Phytomyza glabricola (Diptera: Agromyzidae)",10.1002/ece3.2358,A new afrotropical species of Phytomyza in the subgenus Ptochomyza (Diptera: Agromyzidae),10.5733/afin.056.0309,Phytomyza omlandi spec. nov. – The first species of Agromyzidae (Diptera: Schizophora) reared from the family Gelsemiaceae (Asteridae),10.4289/0013-8797.113.1.42,Bottom-up density regulation in the holly leaf-miner Phytomyza ilicis,10.1111/j.0021-8790.2004.00867.x,"Molecular phylogenetics of the holly leafminers (Diptera: Agromyzidae: Phytomyza): species limits, speciation, and dietary specialization", 10.1006/mpev.2000.0830,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Environmental and clonal influences on host choice and larval survival in a leafmining insect,10.2307/5199,Effects of host-plant population size and plant sex on a specialist leaf-miner,10.1016/j.actao.2010.11.007,"Diversity and host plant-use North American Phytomyza holly leafminers (Diptera: Agromyzidae): colonization, divergence, and specificity in a host-associated radiation",10.1093/aesa/saaa03,Plant hosts and parasitoid associations of leaf mining flies (Diptera: Agromyzidae) in the Canberra region of Australia,10.1111/j.1440-6055.2007.00622.x
